date_key,y,m,site_code,cost_per_unit_imp,kwh_per_unit_imp,fx_effect_ratio_imp,cost_per_unit_imp_lag1,cost_per_unit_imp_roll3,kwh_per_unit_imp_lag1,kwh_per_unit_imp_roll3,fx_effect_ratio_imp_lag1,fx_effect_ratio_imp_roll3,cost_per_unit_imp_mean,cost_per_unit_imp_std,cost_per_unit_imp_z,cost_per_unit_imp_is_outlier,kwh_per_unit_imp_mean,kwh_per_unit_imp_std,kwh_per_unit_imp_z,kwh_per_unit_imp_is_outlier,fx_effect_ratio_imp_mean,fx_effect_ratio_imp_std,fx_effect_ratio_imp_z,fx_effect_ratio_imp_is_outlier,fx_effect_ratio_imp_cap,cost_per_unit_imp_robust,kwh_per_unit_imp_robust,fx_effect_ratio_imp_robust
20240101,2024,1,SC01,777.9224028827342,0.5265130025353133,-3.708761653270116e-08,,,,,,,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,2.718013188533313e-06,3.896300924229391e-06,-0.7071067811865475,False,-3.708761653270116e-08,0.0,0.0,-0.5912459850848982
20240201,2024,2,SC01,777.9224028827342,0.5265130025353133,1.029906300103752e-07,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,-3.708761653270116e-08,3.295150673883702e-08,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-1.2634140578966082e-06,1.932388041328232e-06,0.7071067811865475,False,1.029906300103752e-07,0.0,0.0,-0.5458361061032984
20240301,2024,3,SC01,777.9224028827342,0.5265130025353133,-5.269613666217679e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,1.029906300103752e-07,-1.7345702175800015e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-4.2146476340656426e-06,1.4919472705123397e-06,-0.7071067811865477,False,-5.269613666217679e-06,0.0,0.0,-2.2875006181067
20240401,2024,4,SC01,800.1126305606434,0.5212357172160847,8.005352855736143e-06,777.9224028827342,785.3191454420372,0.5265130025353133,0.5247539074289037,-5.269613666217679e-06,9.4624327317628e-07,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.16256981845541607,False,7.040907621771482e-06,2.4901868863161637e-07,3.8729833462074192,True,7.040907621771482e-06,0.2605424034831696,-0.1473979591971148,2.015912924847215
20240501,2024,5,SC01,697.2196640280183,0.5255425569176883,1.1576918909086846e-06,800.1126305606434,758.4182324904654,0.5212357172160847,0.5244304255563621,8.005352855736143e-06,1.297810360142383e-06,697.2196640280183,0.0,,False,0.515989450476187,0.03150919996643478,0.3031846715142772,False,6.740606971888616e-07,1.228424460473425e-07,3.9370039370059056,True,1.1576918909086846e-06,-0.9475560978499794,-0.027105167694557397,-0.2039282238940159
20240601,2024,6,SC01,1110.2963099575263,0.5270148983500583,-3.726436634674626e-06,697.2196640280183,869.2095348487293,0.5255425569176883,0.5245977241612771,1.1576918909086846e-06,1.8122027039900677e-06,1110.2963099575263,0.0,,False,0.5169569215597005,0.03694522360163342,0.272240246772065,False,1.786760029039874e-06,1.4235012575288368e-06,-3.8729833462074166,True,-3.726436634674626e-06,3.902505997744559,0.014018271582443839,-1.7872410561910306
20240701,2024,7,SC01,776.2033011067476,0.5294978902953588,1.064500747400367e-06,1110.2963099575263,861.2397583640974,0.5270148983500583,0.5273517818543685,-3.726436634674626e-06,-5.014146654551915e-07,776.2033011067476,0.0,,False,0.5205688826278446,0.03281170169531402,0.2721287591368458,False,2.4640928670011582e-06,3.554967538755326e-07,-3.9370039370059056,True,1.064500747400367e-06,-0.020184511625972304,0.08336982703210444,-0.23413847176121957
20240801,2024,8,SC01,779.6415046587208,0.5256827010093978,3.609904506505449e-06,776.2033011067476,888.7137052409984,0.5294978902953588,0.527398496551605,1.064500747400367e-06,3.1598953974372996e-07,779.6415046587208,0.0,,False,0.519160853923404,0.0379380208703158,0.17190794185831507,False,-3.5538766899014074e-06,1.8196022434904949e-06,3.937003937005905,True,3.609904506505449e-06,0.020184511625972304,-0.02319085344737036,0.5910180354965031
20240901,2024,9,SC01,714.9432785425078,0.5289104382283689,3.020568349577395e-06,779.6415046587208,756.9293614359921,0.5256827010093978,0.5280303431777086,3.609904506505449e-06,2.5649912011610707e-06,714.9432785425078,0.0,,False,0.5166223554600795,0.0396946236618194,0.3095654180520372,False,3.7588133916374934e-06,1.9061405022126368e-07,-3.8729833462074166,True,3.020568349577395e-06,-0.7394575965168304,0.06696191452357857,0.39996993041221796
20241001,2024,10,SC01,777.9224028827342,0.5265130025353133,-4.013803597408038e-06,714.9432785425078,757.5023953613209,0.5289104382283689,0.5270353805910267,3.020568349577395e-06,8.722230862249352e-07,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-1.0332286755889533e-06,4.215169478105676e-06,-0.7071067811865476,False,-4.013803597408038e-06,0.0,0.0,-1.8803982688423273
20241101,2024,11,SC01,777.9224028827342,0.5265130025353133,-7.055912386046893e-06,777.9224028827342,756.9293614359921,0.5265130025353133,0.5273121477663318,-4.013803597408038e-06,-2.6830492112925117e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-4.3851066607010694e-06,3.777089679247775e-06,-0.7071067811865476,False,-7.055912386046893e-06,0.0,0.0,-2.866574176594505
20241201,2024,12,SC01,777.9224028827342,0.5265130025353133,-2.5176337305304777e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,-7.055912386046893e-06,-4.52911657132847e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-5.750006934670053e-06,4.571266023945563e-06,0.7071067811865477,False,-2.5176337305304777e-06,0.0,0.0,-1.39537725903169
20250101,2025,1,SC01,777.9224028827342,0.5265130025353133,5.473113993599328e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,-2.5176337305304777e-06,-1.3668107076593476e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,2.718013188533313e-06,3.896300924229391e-06,0.7071067811865476,False,5.473113993599328e-06,0.0,0.0,1.1950241493243439
20250201,2025,2,SC01,777.9224028827342,0.5265130025353133,-2.6298187458035915e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,5.473113993599328e-06,1.0855383908841956e-07,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-1.2634140578966082e-06,1.932388041328232e-06,-0.7071067811865475,False,-2.6298187458035915e-06,0.0,0.0,-1.431744847096368
20250301,2025,3,SC01,777.9224028827342,0.5265130025353133,-3.159681601913607e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,-2.6298187458035915e-06,-1.0546211803929015e-07,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-4.2146476340656426e-06,1.4919472705123397e-06,0.7071067811865475,False,-3.159681601913607e-06,0.0,0.0,-1.6035131891950927
20250401,2025,4,SC01,800.1126305606434,0.5426116526200072,6.076462387806822e-06,777.9224028827342,785.3191454420372,0.5265130025353133,0.5318792192302113,-3.159681601913607e-06,9.565401336320773e-08,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.7476352694151417,False,7.040907621771482e-06,2.4901868863161637e-07,-3.8729833462074157,True,6.076462387806822e-06,0.2605424034831696,0.449645608446886,1.3906146727699638
20250501,2025,5,SC01,697.2196640280183,0.5255425569176883,1.9042950346903869e-07,800.1126305606434,758.4182324904654,0.5426116526200072,0.5315557373576696,6.076462387806822e-06,1.0357367631207513e-06,697.2196640280183,0.0,,False,0.515989450476187,0.03150919996643478,0.3031846715142772,False,6.740606971888616e-07,1.228424460473425e-07,-3.9370039370059056,True,1.9042950346903869e-07,-0.9475560978499794,-0.027105167694557397,-0.5174906009300572
20250601,2025,6,SC01,1110.2963099575263,0.417623407267579,7.299956692754374e-06,697.2196640280183,869.2095348487293,0.5255425569176883,0.4952592056017582,1.9042950346903869e-07,4.522282861343412e-06,1110.2963099575263,0.0,,False,0.5169569215597005,0.03694522360163342,-2.6886699986769,False,1.786760029039874e-06,1.4235012575288368e-06,3.8729833462074166,True,7.040907621771482e-06,3.902505997744559,-3.04135614229213,1.7872410561910306
20250701,2025,7,SC01,776.2033011067476,0.5388672616922529,3.863684986601949e-06,1110.2963099575263,861.2397583640974,0.417623407267579,0.4940110752925067,7.299956692754374e-06,3.78469039427512e-06,776.2033011067476,0.0,,False,0.5205688826278446,0.03281170169531402,0.5576784536908521,False,2.4640928670011582e-06,3.554967538755326e-07,3.9370039370059056,True,3.863684986601949e-06,-0.020184511625972304,0.3450623714602104,0.6732873469240309
20250801,2025,8,SC01,779.6415046587208,0.5304254243409173,-1.0717657886308264e-05,776.2033011067476,888.7137052409984,0.5388672616922529,0.49563869776691644,3.863684986601949e-06,1.486612643493534e-07,779.6415046587208,0.0,,False,0.519160853923404,0.0379380208703158,0.2969203495358694,False,-3.5538766899014074e-06,1.8196022434904949e-06,-3.937003937005905,True,-7.055912386046893e-06,0.020184511625972304,0.10927644703292745,-4.053620874649459
20250901,2025,9,SC01,714.9432785425078,0.5175497975708501,4.497058433697592e-06,779.6415046587208,756.9293614359921,0.5304254243409173,0.5289474945346734,-1.0717657886308264e-05,-7.856381553362406e-07,714.9432785425078,0.0,,False,0.5166223554600795,0.0396946236618194,0.02336442634327398,False,3.7588133916374934e-06,1.9061405022126368e-07,3.8729833462074166,True,4.497058433697592e-06,-0.7394575965168304,-0.25034805581072106,0.878611244763709
20251001,2025,10,SC01,777.9224028827342,0.5265130025353133,1.947346246230131e-06,714.9432785425078,757.5023953613209,0.5175497975708501,0.5248294081490269,4.497058433697592e-06,-1.42441773546018e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-1.0332286755889533e-06,4.215169478105676e-06,0.7071067811865476,False,1.947346246230131e-06,0.0,0.0,0.05205805232920307
20251101,2025,11,SC01,777.9224028827342,0.5265130025353133,-1.7143009353552458e-06,777.9224028827342,756.9293614359921,0.5265130025353133,0.5235252675471589,1.947346246230131e-06,1.576701248190826e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-4.3851066607010694e-06,3.777089679247775e-06,0.7071067811865476,False,-1.7143009353552458e-06,0.0,0.0,-1.1349567732595494
20251201,2025,12,SC01,777.9224028827342,0.5265130025353133,-8.982380138809627e-06,777.9224028827342,777.9224028827342,0.5265130025353133,0.5265130025353133,-1.7143009353552458e-06,-2.9164449426449134e-06,777.9224028827342,0.0,,False,0.5265130025353133,0.0,,False,-5.750006934670053e-06,4.571266023945563e-06,-0.7071067811865476,False,-7.055912386046893e-06,0.0,0.0,-3.4910870447507225
20250402,2025,4,SC01,800.1126305606434,0.5332332027075171,7.040907621771482e-06,777.9224028827342,785.3191454420372,0.5265130025353133,0.5287530692593813,-8.982380138809627e-06,-1.2185911507977966e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.4909444194630321,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,0.1876994952631695,1.7032637988085892
20250403,2025,4,SC01,800.1126305606434,0.5747231726283049,7.040907621771482e-06,800.1126305606434,792.7158880013403,0.5332332027075171,0.5448231259570452,7.040907621771482e-06,1.6998117015777794e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,1.6265367340597932,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,1.346540930497106,1.7032637988085892
20250404,2025,4,SC01,800.1126305606434,0.5197644859813083,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5747231726283049,0.5425736204390434,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.12230179978978327,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.18849038994421696,1.7032637988085892
20250405,2025,4,SC01,800.1126305606434,0.43101086637298075,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5197644859813083,0.5084995083275313,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,-2.306910091958618,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-2.667435834481388,1.7032637988085892
20250406,2025,4,SC01,800.1126305606434,0.5038658008658008,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.43101086637298075,0.4848803844066967,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,-0.31284974801402493,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.6325508487192453,1.7032637988085892
20250407,2025,4,SC01,800.1126305606434,0.5214232074818149,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5038658008658008,0.48543329157353216,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.1677014805229321,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.14216123598314387,1.7032637988085892
20250408,2025,4,SC01,800.1126305606434,0.519701747030049,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5214232074818149,0.5149969184592216,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.12058461679321943,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.1902427290387308,1.7032637988085892
20250409,2025,4,SC01,800.1126305606434,0.5626843286283026,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.519701747030049,0.5346030943800555,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,1.2970301388722627,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,1.0102883064013224,1.7032637988085892
20250410,2025,4,SC01,800.1126305606434,0.545416157989228,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5626843286283026,0.5426007445491933,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.824395381548577,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,0.5279772397639001,1.7032637988085892
20250411,2025,4,SC01,800.1126305606434,0.5250042075736325,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.545416157989228,0.5443682313970544,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,0.26571447476231574,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.04214160970003127,1.7032637988085892
20250412,2025,4,SC01,800.1126305606434,0.49072802989855857,7.040907621771482e-06,800.1126305606434,800.1126305606434,0.5250042075736325,0.5203827984871396,7.040907621771482e-06,7.040907621771482e-06,800.1126305606434,0.0,,False,0.5152960707504971,0.036535972802458176,-0.672434287839342,False,7.040907621771482e-06,2.4901868863161637e-07,0.0,False,7.040907621771482e-06,0.2605424034831696,-0.9994972068997973,1.7032637988085892
