rule_id,description,severity,ok,message,meta,run_ts
R13_KPI_VALID_RANGE,KPIs em faixas válidas,ERROR,True,KPIs fora de faixa = 0,[],2025-10-29 10:27:14.536
R12_RECON_COST_VS_ENERGY,Custo total coerente com consumo energético,WARN,False,Máx. desvio relativo = 49.83%,"[{""site_code"":""SC01"",""rel_diff"":0.4982900396944232},{""site_code"":""SC03"",""rel_diff"":0.14714199367842662},{""site_code"":""SC02"",""rel_diff"":0.11700134885055227},{""site_code"":""SC03"",""rel_diff"":0.08647245846266488},{""site_code"":""SC02"",""rel_diff"":0.07375539079583962},{""site_code"":""SC03"",""rel_diff"":0.14386309727565216},{""site_code"":""SC02"",""rel_diff"":0.09787489494224334},{""site_code"":""SC03"",""rel_diff"":0.3851883623244899},{""site_code"":""SC02"",""rel_diff"":0.28765271711972235},{""site_code"":""SC03"",""rel_diff"":0.18229166215636303},{""site_code"":""SC02"",""rel_diff"":0.13597649510097168},{""site_code"":""SC01"",""rel_diff"":0.05698529143698768},{""site_code"":""SC01"",""rel_diff"":0.09433130616924337}]",2025-10-29 10:27:13.843
R11_RECON_COST_VS_PROD,Custo total proporcional à produção,WARN,False,Máx. desvio relativo = 34.63%,"[{""site_code"":""SC01"",""rel_diff"":0.34628207615971496},{""site_code"":""SC03"",""rel_diff"":0.11775288156422893},{""site_code"":""SC02"",""rel_diff"":0.07225586897259759},{""site_code"":""SC03"",""rel_diff"":0.07015555490436634},{""site_code"":""SC03"",""rel_diff"":0.19575384506410867},{""site_code"":""SC02"",""rel_diff"":0.07225549792160686},{""site_code"":""SC03"",""rel_diff"":0.28596582306913154},{""site_code"":""SC02"",""rel_diff"":0.19630947271824237},{""site_code"":""SC03"",""rel_diff"":0.14650231728335197},{""site_code"":""SC02"",""rel_diff"":0.07008908290724836},{""site_code"":""SC01"",""rel_diff"":0.06632956384700783},{""site_code"":""SC01"",""rel_diff"":0.08767021111878762}]",2025-10-29 10:27:13.522
R10_FK_ENERGY,FK fact_energy → dims,ERROR,True,missing_date=0; missing_site=0; missing_line=0,"{""bad_date_keys"":null,""bad_sites"":null,""bad_lines"":null}",2025-10-29 10:27:12.372
R9_FK_MANU,FK fact_manufacturing → dims,ERROR,True,missing_date=0; missing_site=0; missing_line=0; missing_prod=0,"{""bad_date_keys"":null,""bad_sites"":null,""bad_lines"":null,""bad_products"":null}",2025-10-29 10:27:11.551
R8_FK_COSTS,"FK fact_costs → dim_date, dim_site",ERROR,True,missing_date=0; missing_site=0,"{""bad_date_keys"":null,""bad_sites"":null}",2025-10-29 10:27:11.086
R7_DOMAIN_ENERGY,Domínio energia,ERROR,True,rows_invalid=0,[],2025-10-29 10:27:10.753
R6_DOMAIN_MANU,Domínio manufatura,ERROR,True,rows_invalid=0,[],2025-10-29 10:27:10.699
R5_DOMAIN_COSTS,Domínio custos/fx_rate,ERROR,True,rows_invalid=0,[],2025-10-29 10:27:10.643
R4_DIM_DUPLICATES,Duplicatas nas dimensões,ERROR,True,dup_site=0; dup_line=0; dup_prod=0,"{""dup_site"":null,""dup_line"":null,""dup_prod"":null}",2025-10-29 10:27:10.234
R3_DIM_KEYS_NOT_NULL,Chaves de dimensões não nulas,ERROR,True,nulls(dim_site.site_code)=0; nulls(dim_line.site_code)=0; nulls(dim_line.line_code)=0; nulls(dim_product.product_code)=0,[],2025-10-29 10:27:10.134
R2C_FRESHNESS_ENERGY,Energia atualizada (diário),WARN,False,29 day(s) lag,"{""max_date"":""2025-09-30""}",2025-10-29 10:27:09.515
R2B_FRESHNESS_MANU,Manufatura atualizada (diário),WARN,False,29 day(s) lag,"{""max_date"":""2025-09-30""}",2025-10-29 10:27:09.193
R2A_FRESHNESS_COSTS,Custos atualizados (mensal),WARN,True,-2 month(s) lag,"{""max_date"":""2025-12-01""}",2025-10-29 10:27:08.894
R1_COUNTS,Tabelas possuem linhas (>0),ERROR,True,dim_date=201; dim_site=3; dim_line=9; dim_product=4; fact_costs=3600; fact_manufacturing=6588; fact_energy=8235,[],2025-10-29 10:27:08.307
