ref_month,site_code,cost_center,account_code,account_name,amount_br,amount_fx,fx_rate
2025-01-01,SC01,CC01,ELEC,Energia,254495.72,48150.44,5.2854
2025-01-01,SC01,CC01,GAS,Gás,249640.33,47231.8,5.2854
2025-01-01,SC01,CC01,WATR,Água,72213.71,13662.79,5.2854
2025-01-01,SC01,CC01,MNTC,Manutenção,202019.33,38221.94,5.2854
2025-01-01,SC01,CC01,LABR,Mão de obra,66800.71,12638.65,5.2854
2025-01-01,SC01,CC01,PACK,Embalagens,124268.22,23511.47,5.2854
2025-01-01,SC01,CC01,MATL,Matéria-prima,72481.53,13713.46,5.2854
2025-01-01,SC01,CC01,LOGS,Logística,274431.43,51922.26,5.2854
2025-01-01,SC01,CC01,DEPR,Depreciação,225390.12,42643.68,5.2854
2025-01-01,SC01,CC01,OTHR,Outros,244045.24,46173.21,5.2854
2025-01-01,SC01,CC02,ELEC,Energia,197343.35,37337.24,5.2854
2025-01-01,SC01,CC02,GAS,Gás,107962.33,20426.41,5.2854
2025-01-01,SC01,CC02,WATR,Água,67026.14,12681.31,5.2854
2025-01-01,SC01,CC02,MNTC,Manutenção,151685.36,28698.78,5.2854
2025-01-01,SC01,CC02,LABR,Mão de obra,149819.0,28345.67,5.2854
2025-01-01,SC01,CC02,PACK,Embalagens,209442.28,39626.35,5.2854
2025-01-01,SC01,CC02,MATL,Matéria-prima,156042.25,29523.1,5.2854
2025-01-01,SC01,CC02,LOGS,Logística,222781.32,42150.09,5.2854
2025-01-01,SC01,CC02,DEPR,Depreciação,117843.87,22295.99,5.2854
2025-01-01,SC01,CC02,OTHR,Outros,263940.63,49937.41,5.2854
2025-01-01,SC01,CC03,ELEC,Energia,189137.33,35784.67,5.2854
2025-01-01,SC01,CC03,GAS,Gás,77028.07,14573.67,5.2854
2025-01-01,SC01,CC03,WATR,Água,148100.06,28020.44,5.2854
2025-01-01,SC01,CC03,MNTC,Manutenção,156116.82,29537.21,5.2854
2025-01-01,SC01,CC03,LABR,Mão de obra,257570.85,48732.25,5.2854
2025-01-01,SC01,CC03,PACK,Embalagens,120466.0,22792.09,5.2854
2025-01-01,SC01,CC03,MATL,Matéria-prima,198425.54,37541.99,5.2854
2025-01-01,SC01,CC03,LOGS,Logística,291722.27,55193.68,5.2854
2025-01-01,SC01,CC03,DEPR,Depreciação,94584.89,17895.41,5.2854
2025-01-01,SC01,CC03,OTHR,Outros,150072.83,28393.69,5.2854
2025-01-01,SC01,CC04,ELEC,Energia,126761.99,23983.29,5.2854
2025-01-01,SC01,CC04,GAS,Gás,267090.42,50533.35,5.2854
2025-01-01,SC01,CC04,WATR,Água,275526.68,52129.48,5.2854
2025-01-01,SC01,CC04,MNTC,Manutenção,77674.29,14695.93,5.2854
