timestamp,site_code,line_code,equip_code,kwh,kw_demand,kvarh
2025-06-01 00:00:00,SC01,L1,E01,2.812,3.625,0.721
2025-06-01 01:00:00,SC01,L1,E01,2.798,2.416,0.718
2025-06-01 02:00:00,SC01,L1,E01,0.976,0.873,0.25
2025-06-01 03:00:00,SC01,L1,E01,3.472,2.192,0.891
2025-06-01 04:00:00,SC01,L1,E01,2.46,2.119,0.631
2025-06-01 05:00:00,SC01,L1,E01,3.114,4.082,0.799
2025-06-01 06:00:00,SC01,L1,E01,0.704,0.437,0.181
2025-06-01 07:00:00,SC01,L1,E01,3.877,3.587,0.995
2025-06-01 08:00:00,SC01,L1,E01,1.623,1.015,0.416
2025-06-01 09:00:00,SC01,L1,E01,4.581,4.108,1.175
2025-06-01 10:00:00,SC01,L1,E01,4.244,3.132,1.089
2025-06-01 11:00:00,SC01,L1,E01,1.488,1.193,0.382
2025-06-01 12:00:00,SC01,L1,E01,3.202,4.169,0.821
2025-06-01 13:00:00,SC01,L1,E01,1.735,1.646,0.445
2025-06-01 14:00:00,SC01,L1,E01,2.037,1.668,0.523
2025-06-01 15:00:00,SC01,L1,E01,2.055,2.202,0.527
2025-06-01 16:00:00,SC01,L1,E01,2.907,2.074,0.746
2025-06-01 17:00:00,SC01,L1,E01,2.808,2.268,0.72
2025-06-01 18:00:00,SC01,L1,E01,9.17,9.509,2.353
2025-06-01 19:00:00,SC01,L1,E01,2.9,2.291,0.744
2025-06-01 20:00:00,SC01,L1,E01,2.385,2.727,0.612
2025-06-01 21:00:00,SC01,L1,E01,1.092,1.084,0.28
2025-06-01 22:00:00,SC01,L1,E01,2.201,2.68,0.565
2025-06-01 23:00:00,SC01,L1,E01,3.877,5.267,0.995
2025-06-02 00:00:00,SC01,L1,E01,3.927,2.72,1.007
2025-06-02 01:00:00,SC01,L1,E01,2.779,2.411,0.713
2025-06-02 02:00:00,SC01,L1,E01,4.899,4.192,1.257
2025-06-02 03:00:00,SC01,L1,E01,3.505,2.527,0.899
2025-06-02 04:00:00,SC01,L1,E01,4.419,5.516,1.134
2025-06-02 05:00:00,SC01,L1,E01,4.11,4.964,1.054
2025-06-02 06:00:00,SC01,L1,E01,5.657,5.586,1.451
2025-06-02 07:00:00,SC01,L1,E01,4.11,4.234,1.054
2025-06-02 08:00:00,SC01,L1,E01,3.332,2.158,0.855
2025-06-02 09:00:00,SC01,L1,E01,3.872,4.044,0.993
2025-06-02 10:00:00,SC01,L1,E01,3.264,4.025,0.837
2025-06-02 11:00:00,SC01,L1,E01,4.08,4.321,1.047
2025-06-02 12:00:00,SC01,L1,E01,5.663,4.6,1.453
2025-06-02 13:00:00,SC01,L1,E01,5.246,5.949,1.346
2025-06-02 14:00:00,SC01,L1,E01,5.88,5.229,1.509
2025-06-02 15:00:00,SC01,L1,E01,4.631,4.797,1.188
2025-06-02 16:00:00,SC01,L1,E01,4.362,4.318,1.119
2025-06-02 17:00:00,SC01,L1,E01,3.449,3.121,0.885
2025-06-02 18:00:00,SC01,L1,E01,4.463,5.244,1.145
2025-06-02 19:00:00,SC01,L1,E01,4.143,5.415,1.063
2025-06-02 20:00:00,SC01,L1,E01,4.87,2.942,1.249
2025-06-02 21:00:00,SC01,L1,E01,3.349,4.511,0.859
2025-06-02 22:00:00,SC01,L1,E01,4.289,4.329,1.1
2025-06-02 23:00:00,SC01,L1,E01,2.988,3.468,0.767
2025-06-03 00:00:00,SC01,L1,E01,4.517,5.803,1.159
2025-06-03 01:00:00,SC01,L1,E01,4.788,4.662,1.228
2025-06-03 02:00:00,SC01,L1,E01,15.73,19.945,4.035
2025-06-03 03:00:00,SC01,L1,E01,3.175,2.356,0.815
2025-06-03 04:00:00,SC01,L1,E01,3.21,2.335,0.824
2025-06-03 05:00:00,SC01,L1,E01,4.105,4.622,1.053
2025-06-03 06:00:00,SC01,L1,E01,3.129,4.056,0.803
2025-06-03 07:00:00,SC01,L1,E01,5.35,7.03,1.373
2025-06-03 08:00:00,SC01,L1,E01,4.596,5.125,1.179
2025-06-03 09:00:00,SC01,L1,E01,4.726,4.823,1.213
2025-06-03 10:00:00,SC01,L1,E01,2.976,2.575,0.763
2025-06-03 11:00:00,SC01,L1,E01,5.282,7.31,1.355
2025-06-03 12:00:00,SC01,L1,E01,4.767,4.079,1.223
2025-06-03 13:00:00,SC01,L1,E01,3.701,4.424,0.95
2025-06-03 14:00:00,SC01,L1,E01,3.014,3.091,0.773
2025-06-03 15:00:00,SC01,L1,E01,4.186,4.55,1.074
2025-06-03 16:00:00,SC01,L1,E01,3.874,3.544,0.994
2025-06-03 17:00:00,SC01,L1,E01,3.907,5.36,1.002
2025-06-03 18:00:00,SC01,L1,E01,3.683,3.894,0.945
2025-06-03 19:00:00,SC01,L1,E01,4.824,6.514,1.238
2025-06-03 20:00:00,SC01,L1,E01,2.167,1.313,0.556
2025-06-03 21:00:00,SC01,L1,E01,5.391,5.705,1.383
2025-06-03 22:00:00,SC01,L1,E01,5.046,5.922,1.294
2025-06-03 23:00:00,SC01,L1,E01,4.416,5.282,1.133
2025-06-04 00:00:00,SC01,L1,E01,4.132,5.471,1.06
2025-06-04 01:00:00,SC01,L1,E01,5.114,3.086,1.312
2025-06-04 02:00:00,SC01,L1,E01,4.213,2.529,1.081
2025-06-04 03:00:00,SC01,L1,E01,4.024,3.935,1.032
2025-06-04 04:00:00,SC01,L1,E01,5.158,3.216,1.323
2025-06-04 05:00:00,SC01,L1,E01,5.922,8.17,1.519
2025-06-04 06:00:00,SC01,L1,E01,3.47,2.699,0.89
2025-06-04 07:00:00,SC01,L1,E01,4.587,4.487,1.177
2025-06-04 08:00:00,SC01,L1,E01,3.378,2.192,0.867
2025-06-04 09:00:00,SC01,L1,E01,4.649,4.731,1.193
2025-06-04 10:00:00,SC01,L1,E01,3.625,3.277,0.93
2025-06-04 11:00:00,SC01,L1,E01,5.216,3.316,1.338
2025-06-04 12:00:00,SC01,L1,E01,4.167,3.617,1.069
2025-06-04 13:00:00,SC01,L1,E01,4.284,3.912,1.099
2025-06-04 14:00:00,SC01,L1,E01,5.552,7.728,1.424
2025-06-04 15:00:00,SC01,L1,E01,3.661,2.805,0.939
2025-06-04 16:00:00,SC01,L1,E01,4.795,4.967,1.23
2025-06-04 17:00:00,SC01,L1,E01,3.74,5.199,0.96
2025-06-04 18:00:00,SC01,L1,E01,5.204,6.42,1.335
2025-06-04 19:00:00,SC01,L1,E01,5.677,7.917,1.456
2025-06-04 20:00:00,SC01,L1,E01,4.037,5.549,1.036
2025-06-04 21:00:00,SC01,L1,E01,2.492,2.471,0.639
2025-06-04 22:00:00,SC01,L1,E01,3.697,4.277,0.948
2025-06-04 23:00:00,SC01,L1,E01,6.193,4.263,1.589
2025-06-05 00:00:00,SC01,L1,E01,3.774,3.596,0.968
2025-06-05 01:00:00,SC01,L1,E01,5.664,7.064,1.453
2025-06-05 02:00:00,SC01,L1,E01,3.762,3.778,0.965
2025-06-05 03:00:00,SC01,L1,E01,3.742,4.349,0.96
2025-06-05 04:00:00,SC01,L1,E01,4.871,5.828,1.25
2025-06-05 05:00:00,SC01,L1,E01,4.775,3.833,1.225
2025-06-05 06:00:00,SC01,L1,E01,4.929,6.41,1.265
2025-06-05 07:00:00,SC01,L1,E01,4.251,4.115,1.091
2025-06-05 08:00:00,SC01,L1,E01,5.075,3.898,1.302
2025-06-05 09:00:00,SC01,L1,E01,5.016,6.483,1.287
2025-06-05 10:00:00,SC01,L1,E01,5.166,4.827,1.325
2025-06-05 11:00:00,SC01,L1,E01,3.748,4.499,0.962
2025-06-05 12:00:00,SC01,L1,E01,5.074,5.269,1.302
2025-06-05 13:00:00,SC01,L1,E01,3.83,3.468,0.983
2025-06-05 14:00:00,SC01,L1,E01,4.122,5.143,1.057
