date,site_code,line_code,product_code,units_ok,units_rework,scrap_units,takt_time_s,oee
2025-04-01,SC01,L1,FRDG-A,267,3,7,34.7,0.74
2025-04-02,SC01,L1,FRDG-A,200,1,4,34.69,0.887
2025-04-03,SC01,L1,FRDG-A,225,0,3,31.38,0.809
2025-04-04,SC01,L1,FRDG-A,214,1,4,39.78,0.846
2025-04-05,SC01,L1,FRDG-A,138,1,5,42.71,0.729
2025-04-06,SC01,L1,FRDG-A,156,2,2,21.53,0.725
2025-04-07,SC01,L1,FRDG-A,243,1,5,58.81,0.871
2025-04-08,SC01,L1,FRDG-A,244,1,0,24.78,0.819
2025-04-09,SC01,L1,FRDG-A,216,0,4,52.78,0.733
2025-04-10,SC01,L1,FRDG-A,220,1,1,24.51,0.754
2025-04-11,SC01,L1,FRDG-A,217,1,0,58.72,0.808
2025-04-12,SC01,L1,FRDG-A,140,1,6,40.65,0.708
2025-04-13,SC01,L1,FRDG-A,150,1,6,23.94,0.627
2025-04-14,SC01,L1,FRDG-A,240,1,4,32.85,0.861
2025-04-15,SC01,L1,FRDG-A,227,0,4,53.69,0.921
2025-04-16,SC01,L1,FRDG-A,238,2,5,40.82,0.744
2025-04-17,SC01,L1,FRDG-A,252,1,6,22.87,0.827
2025-04-18,SC01,L1,FRDG-A,202,1,5,30.02,0.858
2025-04-19,SC01,L1,FRDG-A,152,1,5,39.3,0.647
2025-04-20,SC01,L1,FRDG-A,209,0,3,56.56,0.642
2025-04-21,SC01,L1,FRDG-A,234,0,2,48.49,0.848
2025-04-22,SC01,L1,FRDG-A,211,1,4,59.53,0.833
2025-04-23,SC01,L1,FRDG-A,278,2,2,28.97,0.893
2025-04-24,SC01,L1,FRDG-A,229,1,2,58.78,0.869
2025-04-25,SC01,L1,FRDG-A,214,1,7,49.53,0.846
2025-04-26,SC01,L1,FRDG-A,202,0,5,48.98,0.843
2025-04-27,SC01,L1,FRDG-A,136,0,8,38.25,0.781
2025-04-28,SC01,L1,FRDG-A,218,4,2,42.77,0.82
2025-04-29,SC01,L1,FRDG-A,225,1,1,33.85,0.788
2025-04-30,SC01,L1,FRDG-A,259,1,5,40.7,0.79
2025-05-01,SC01,L1,FRDG-A,234,0,2,59.81,0.752
2025-05-02,SC01,L1,FRDG-A,228,3,2,28.54,0.865
2025-05-03,SC01,L1,FRDG-A,167,1,4,33.51,0.719
2025-05-04,SC01,L1,FRDG-A,201,1,4,55.64,0.67
2025-05-05,SC01,L1,FRDG-A,248,1,6,39.64,0.786
2025-05-06,SC01,L1,FRDG-A,216,0,4,54.11,0.892
2025-05-07,SC01,L1,FRDG-A,200,3,2,34.61,0.752
2025-05-08,SC01,L1,FRDG-A,239,2,4,35.97,0.867
2025-05-09,SC01,L1,FRDG-A,245,2,3,33.99,0.827
2025-05-10,SC01,L1,FRDG-A,150,1,3,20.36,0.706
2025-05-11,SC01,L1,FRDG-A,114,0,8,41.98,0.599
2025-05-12,SC01,L1,FRDG-A,232,0,4,58.73,0.83
2025-05-13,SC01,L1,FRDG-A,216,1,7,26.88,0.907
2025-05-14,SC01,L1,FRDG-A,230,0,6,31.42,0.849
2025-05-15,SC01,L1,FRDG-A,235,1,1,45.49,0.848
2025-05-16,SC01,L1,FRDG-A,212,0,3,36.93,0.856
2025-05-17,SC01,L1,FRDG-A,90,1,3,28.75,0.629
2025-05-18,SC01,L1,FRDG-A,171,0,5,52.85,0.723
2025-05-19,SC01,L1,FRDG-A,214,4,5,23.78,0.841
2025-05-20,SC01,L1,FRDG-A,211,0,4,34.93,0.86
2025-05-21,SC01,L1,FRDG-A,231,1,5,57.8,0.892
2025-05-22,SC01,L1,FRDG-A,273,1,5,49.24,0.862
2025-05-23,SC01,L1,FRDG-A,228,2,7,53.77,0.819
2025-05-24,SC01,L1,FRDG-A,186,0,6,23.12,0.682
2025-05-25,SC01,L1,FRDG-A,150,0,6,37.25,0.77
2025-05-26,SC01,L1,FRDG-A,249,0,4,54.62,0.801
2025-05-27,SC01,L1,FRDG-A,210,0,8,59.64,0.803
2025-05-28,SC01,L1,FRDG-A,203,1,2,25.75,0.898
2025-05-29,SC01,L1,FRDG-A,198,0,5,35.75,0.686
2025-05-30,SC01,L1,FRDG-A,237,0,8,44.91,0.72
2025-05-31,SC01,L1,FRDG-A,116,0,5,37.03,0.638
2025-06-01,SC01,L1,FRDG-A,198,1,2,56.79,0.639
2025-06-02,SC01,L1,FRDG-A,241,3,4,35.57,0.785
2025-06-03,SC01,L1,FRDG-A,225,0,6,32.55,0.881
2025-06-04,SC01,L1,FRDG-A,254,0,5,48.73,0.738
2025-06-05,SC01,L1,FRDG-A,308,2,4,54.74,0.709
2025-06-06,SC01,L1,FRDG-A,241,2,2,33.32,0.818
2025-06-07,SC01,L1,FRDG-A,141,0,2,50.66,0.601
2025-06-08,SC01,L1,FRDG-A,170,1,1,34.84,0.776
2025-06-09,SC01,L1,FRDG-A,243,0,5,22.38,0.843
2025-06-10,SC01,L1,FRDG-A,196,0,7,54.46,0.649
2025-06-11,SC01,L1,FRDG-A,199,1,3,51.8,0.809
2025-06-12,SC01,L1,FRDG-A,190,1,4,50.03,0.779
2025-06-13,SC01,L1,FRDG-A,209,1,5,20.69,0.863
2025-06-14,SC01,L1,FRDG-A,151,1,2,45.5,0.657
2025-06-15,SC01,L1,FRDG-A,160,1,11,40.73,0.788
2025-06-16,SC01,L1,FRDG-A,256,2,8,32.99,0.816
2025-06-17,SC01,L1,FRDG-A,234,1,4,48.05,0.814
2025-06-18,SC01,L1,FRDG-A,265,2,5,37.44,0.892
2025-06-19,SC01,L1,FRDG-A,208,0,6,28.03,0.828
2025-06-20,SC01,L1,FRDG-A,222,3,2,31.29,0.9
